image_id,filename,relative_path,width_px,height_px,aspect_ratio,orientation,format_class,creative_family_guess,dominant_motif_guess,headline_style_guess,cta_style_guess,palette_guess,status
img_057,1080x1920___SafeZone-8-553fcd61-ceff-41e9-9bb5-1379cbc9bccb.png,00_source_images/1080x1920___SafeZone-8-553fcd61-ceff-41e9-9bb5-1379cbc9bccb.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_058,1080x1920___SafeZone-9-80e7adc5-cc48-4527-976b-f04382f1befe.png,00_source_images/1080x1920___SafeZone-9-80e7adc5-cc48-4527-976b-f04382f1befe.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_059,1080x1920___Safezone-1-848f27f5-7ce5-44ea-b9fc-692928c4ba12.png,00_source_images/1080x1920___Safezone-1-848f27f5-7ce5-44ea-b9fc-692928c4ba12.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_060,1080x1920___Safezone-2-aef26707-c05c-4487-9d89-3e19124e3a81.png,00_source_images/1080x1920___Safezone-2-aef26707-c05c-4487-9d89-3e19124e3a81.png,576,1024,0.5625,portrait,vertical_story_reel,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_061,1200x628-1-23487180-82d0-46eb-a0ff-d90bad5d2f37.png,00_source_images/1200x628-1-23487180-82d0-46eb-a0ff-d90bad5d2f37.png,1024,535,1.914,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_062,1200x628-10-d0c90364-119d-4e07-b0a6-fcf120ecc3f5.png,00_source_images/1200x628-10-d0c90364-119d-4e07-b0a6-fcf120ecc3f5.png,1024,535,1.914,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_063,1200x628-11-5d34f51a-b4d2-4bbc-8eb1-9c963bed7406.png,00_source_images/1200x628-11-5d34f51a-b4d2-4bbc-8eb1-9c963bed7406.png,1024,614,1.6678,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_064,1200x628-12-3963453f-1f24-484e-8283-a66f690bbd2e.png,00_source_images/1200x628-12-3963453f-1f24-484e-8283-a66f690bbd2e.png,1024,587,1.7445,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_065,1200x628-13-f38ef79b-59fc-4e1f-83d2-96d4eb4c485a.png,00_source_images/1200x628-13-f38ef79b-59fc-4e1f-83d2-96d4eb4c485a.png,1024,587,1.7445,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_066,1200x628-14-8a6400ec-9a59-4744-8cb0-7b77d50a3c34.png,00_source_images/1200x628-14-8a6400ec-9a59-4744-8cb0-7b77d50a3c34.png,1024,587,1.7445,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_067,1200x628-15-24b69771-3a0d-4a84-8246-73cda049df78.png,00_source_images/1200x628-15-24b69771-3a0d-4a84-8246-73cda049df78.png,1024,587,1.7445,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_068,1200x628-16-7a4570e5-4bc4-44a9-aad6-bd7fe5a2ae3f.png,00_source_images/1200x628-16-7a4570e5-4bc4-44a9-aad6-bd7fe5a2ae3f.png,1024,587,1.7445,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_069,1200x628-17-989bf1b4-e509-4eb3-b147-2e21de6ca038.png,00_source_images/1200x628-17-989bf1b4-e509-4eb3-b147-2e21de6ca038.png,1024,587,1.7445,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_070,1200x628-18-f4bc1b5d-6e80-4b31-9f36-f5d054ea38f5.png,00_source_images/1200x628-18-f4bc1b5d-6e80-4b31-9f36-f5d054ea38f5.png,1024,587,1.7445,landscape,landscape_feed,mixed_landscape_portfolio,calendar_or_product_context_or_case_study,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
